dataset,query_idx,M,efConstruction,efSearch,k,Rt,baseline_recall,darth_recall,is_failure,difficulty_1nn_dist,query_norm
sift128,4000,16,200,200,10,0.9,0.9,0.9,False,184.47493,508.96954
sift128,4001,16,200,200,10,0.9,0.3,0.3,False,264.7206,508.47516
sift128,4002,16,200,200,10,0.9,1.0,1.0,False,155.48955,508.79956
sift128,4003,16,200,200,10,0.9,1.0,1.0,False,216.6241,509.06876
sift128,4004,16,200,200,10,0.9,1.0,1.0,False,213.06102,508.2578
sift128,4005,16,200,200,10,0.9,0.8,0.8,False,174.64536,510.1098
sift128,4006,16,200,200,10,0.9,1.0,1.0,False,130.96947,509.00983
sift128,4007,16,200,200,10,0.9,0.8,0.8,False,211.3102,507.99115
sift128,4008,16,200,200,10,0.9,1.0,1.0,False,140.58093,509.35843
sift128,4009,16,200,200,10,0.9,1.0,1.0,False,191.09422,508.1968
sift128,4010,16,200,200,10,0.9,1.0,1.0,False,173.25703,509.3712
sift128,4011,16,200,200,10,0.9,1.0,1.0,False,183.24301,507.75388
sift128,4012,16,200,200,10,0.9,1.0,1.0,False,251.54324,509.00983
sift128,4013,16,200,200,10,0.9,0.6,0.6,False,219.07077,508.43387
sift128,4014,16,200,200,10,0.9,0.9,0.9,False,171.61584,507.92026
sift128,4015,16,200,200,10,0.9,0.9,0.9,False,155.16121,508.45847
sift128,4016,16,200,200,10,0.9,0.9,0.9,False,183.82872,508.29224
sift128,4017,16,200,200,10,0.9,0.7,0.7,False,181.11873,508.16632
sift128,4018,16,200,200,10,0.9,0.7,0.7,False,155.08063,508.25583
sift128,4019,16,200,200,10,0.9,1.0,1.0,False,135.24422,508.7514
sift128,4020,16,200,200,10,0.9,0.8,0.8,False,240.51404,509.08054
sift128,4021,16,200,200,10,0.9,0.9,0.9,False,202.76587,508.1112
sift128,4022,16,200,200,10,0.9,0.6,0.6,False,225.1977,508.5725
sift128,4023,16,200,200,10,0.9,0.9,0.9,False,256.35132,509.0894
sift128,4024,16,200,200,10,0.9,0.7,0.7,False,229.62798,508.83594
sift128,4025,16,200,200,10,0.9,0.4,0.4,False,199.88246,508.73373
sift128,4026,16,200,200,10,0.9,1.0,1.0,False,62.425957,509.09625
sift128,4027,16,200,200,10,0.9,1.0,1.0,False,58.463665,510.28027
sift128,4028,16,200,200,10,0.9,1.0,1.0,False,160.72026,509.78918
sift128,4029,16,200,200,10,0.9,0.9,0.9,False,280.05713,508.60004
sift128,4030,16,200,200,10,0.9,0.9,0.9,False,246.65765,509.66068
sift128,4031,16,200,200,10,0.9,0.8,0.8,False,250.57933,508.38376
sift128,4032,16,200,200,10,0.9,1.0,1.0,False,97.36015,510.9501
sift128,4033,16,200,200,10,0.9,0.4,0.4,False,226.22775,508.4663
sift128,4034,16,200,200,10,0.9,1.0,1.0,False,190.30238,509.9098
sift128,4035,16,200,200,10,0.9,1.0,1.0,False,222.90356,508.98624
sift128,4036,16,200,200,10,0.9,0.9,0.9,False,151.44637,509.1375
sift128,4037,16,200,200,10,0.9,0.8,0.8,False,208.95694,508.4516
sift128,4038,16,200,200,10,0.9,0.9,0.9,False,175.2484,508.08563
sift128,4039,16,200,200,10,0.9,0.8,0.8,False,148.70105,508.9568
sift128,4040,16,200,200,10,0.9,0.9,0.9,False,176.61256,507.97833
sift128,4041,16,200,200,10,0.9,0.4,0.4,False,190.03683,508.40436
sift128,4042,16,200,200,10,0.9,0.9,0.9,False,195.82901,508.87326
sift128,4043,16,200,200,10,0.9,1.0,1.0,False,271.21024,508.6993
sift128,4044,16,200,200,10,0.9,0.7,0.7,False,164.96364,508.82806
sift128,4045,16,200,200,10,0.9,0.2,0.2,False,196.2906,509.48798
sift128,4046,16,200,200,10,0.9,1.0,1.0,False,199.0854,508.601
sift128,4047,16,200,200,10,0.9,1.0,1.0,False,214.581,509.7009
sift128,4048,16,200,200,10,0.9,0.8,0.8,False,127.26743,507.74994
sift128,4049,16,200,200,10,0.9,1.0,1.0,False,205.10728,509.381
sift128,4050,16,200,200,10,0.9,0.6,0.6,False,237.22142,508.47418
sift128,4051,16,200,200,10,0.9,1.0,1.0,False,162.65608,507.6603
sift128,4052,16,200,200,10,0.9,0.9,0.9,False,193.01813,508.6443
sift128,4053,16,200,200,10,0.9,0.8,0.8,False,219.4812,508.78287
sift128,4054,16,200,200,10,0.9,0.9,0.9,False,162.56076,509.31717
sift128,4055,16,200,200,10,0.9,0.9,0.9,False,189.9842,508.06396
sift128,4056,16,200,200,10,0.9,1.0,1.0,False,178.2975,508.59216
sift128,4057,16,200,200,10,0.9,0.7,0.7,False,151.18863,509.5125
sift128,4058,16,200,200,10,0.9,0.8,0.8,False,279.36716,509.08545
sift128,4059,16,200,200,10,0.9,1.0,1.0,False,171.83711,509.53705
sift128,4060,16,200,200,10,0.9,1.0,1.0,False,221.20578,507.5904
sift128,4061,16,200,200,10,0.9,0.9,0.9,False,150.08997,508.77008
sift128,4062,16,200,200,10,0.9,0.6,0.6,False,223.65822,508.6138
sift128,4063,16,200,200,10,0.9,1.0,1.0,False,221.02036,508.42108
sift128,4064,16,200,200,10,0.9,0.8,0.8,False,254.17908,508.6246
sift128,4065,16,200,200,10,0.9,0.6,0.6,False,164.30156,509.34958
sift128,4066,16,200,200,10,0.9,0.8,0.8,False,219.49033,509.4134
sift128,4067,16,200,200,10,0.9,0.9,0.9,False,260.24026,508.67966
sift128,4068,16,200,200,10,0.9,0.8,0.8,False,272.8351,508.3601
sift128,4069,16,200,200,10,0.9,0.5,0.5,False,269.60526,508.01968
sift128,4070,16,200,200,10,0.9,0.8,0.8,False,216.1157,509.53705
sift128,4071,16,200,200,10,0.9,0.7,0.7,False,248.48743,508.8143
sift128,4072,16,200,200,10,0.9,1.0,1.0,False,261.68875,508.1919
sift128,4073,16,200,200,10,0.9,0.5,0.5,False,227.5368,508.29715
sift128,4074,16,200,200,10,0.9,1.0,1.0,False,208.29546,509.31525
sift128,4075,16,200,200,10,0.9,0.8,0.8,False,178.13759,508.57547
sift128,4076,16,200,200,10,0.9,0.9,0.9,False,255.03922,508.40927
sift128,4077,16,200,200,10,0.9,1.0,1.0,False,148.98993,509.55176
sift128,4078,16,200,200,10,0.9,0.2,0.2,False,274.02554,508.2824
sift128,4079,16,200,200,10,0.9,1.0,1.0,False,160.16241,508.8192
sift128,4080,16,200,200,10,0.9,1.0,1.0,False,189.66286,507.38446
sift128,4081,16,200,200,10,0.9,1.0,1.0,False,172.9017,509.25534
sift128,4082,16,200,200,10,0.9,0.7,0.7,False,203.42566,508.97742
sift128,4083,16,200,200,10,0.9,0.7,0.7,False,260.67795,508.30597
sift128,4084,16,200,200,10,0.9,0.6,0.6,False,201.00249,508.7799
sift128,4085,16,200,200,10,0.9,0.8,0.8,False,225.79857,508.10333
sift128,4086,16,200,200,10,0.9,0.9,0.9,False,245.74173,507.82675
sift128,4087,16,200,200,10,0.9,0.8,0.8,False,180.47992,508.66492
sift128,4088,16,200,200,10,0.9,1.0,1.0,False,148.20593,509.08643
sift128,4089,16,200,200,10,0.9,0.7,0.7,False,245.97154,508.26962
sift128,4090,16,200,200,10,0.9,0.8,0.8,False,222.11708,509.22882
sift128,4091,16,200,200,10,0.9,0.9,0.9,False,160.07498,509.4242
sift128,4092,16,200,200,10,0.9,0.8,0.8,False,234.45682,508.78384
sift128,4093,16,200,200,10,0.9,0.7,0.7,False,170.9649,508.20862
sift128,4094,16,200,200,10,0.9,0.9,0.9,False,144.27751,508.81332
sift128,4095,16,200,200,10,0.9,1.0,1.0,False,205.94418,507.8041
sift128,4096,16,200,200,10,0.9,0.7,0.7,False,265.13394,508.68655
sift128,4097,16,200,200,10,0.9,0.7,0.7,False,233.80333,508.16925
sift128,4098,16,200,200,10,0.9,0.8,0.8,False,221.98648,509.4605
sift128,4099,16,200,200,10,0.9,1.0,1.0,False,185.26738,508.16434
sift128,4100,16,200,200,10,0.9,0.6,0.6,False,185.53436,508.57547
sift128,4101,16,200,200,10,0.9,0.6,0.6,False,231.00865,508.1673
sift128,4102,16,200,200,10,0.9,1.0,1.0,False,184.56976,509.0236
sift128,4103,16,200,200,10,0.9,0.8,0.8,False,202.35365,510.00293
sift128,4104,16,200,200,10,0.9,1.0,1.0,False,168.81647,508.1289
sift128,4105,16,200,200,10,0.9,0.9,0.9,False,180.81482,508.00394
sift128,4106,16,200,200,10,0.9,0.6,0.6,False,251.92856,508.5086
