dataset,query_idx,M,efConstruction,efSearch,k,Rt,baseline_recall,darth_recall,is_failure,difficulty_1nn_dist,query_norm
siftsmall,20,8,200,200,10,0.9,1.0,1.0,False,192.98445,509.3005
siftsmall,21,8,200,200,10,0.9,1.0,1.0,False,80.845535,510.24307
siftsmall,22,8,200,200,10,0.9,1.0,1.0,False,173.05202,508.70816
siftsmall,23,8,200,200,10,0.9,0.8,0.8,False,253.94093,509.71658
siftsmall,24,8,200,200,10,0.9,1.0,1.0,False,154.2271,508.49188
siftsmall,25,8,200,200,10,0.9,0.7,0.7,False,271.61002,508.6659
siftsmall,26,8,200,200,10,0.9,1.0,1.0,False,183.4421,509.33878
siftsmall,27,8,200,200,10,0.9,1.0,1.0,False,175.51639,508.09644
siftsmall,28,8,200,200,10,0.9,0.9,0.9,False,224.85995,507.9931
siftsmall,29,8,200,200,10,0.9,1.0,1.0,False,125.379425,509.43497
siftsmall,30,8,200,200,10,0.9,1.0,1.0,False,265.37708,508.52237
siftsmall,31,8,200,200,10,0.9,0.9,0.9,False,109.19249,509.40454
siftsmall,32,8,200,200,10,0.9,1.0,1.0,False,187.56332,509.0884
siftsmall,33,8,200,200,10,0.9,1.0,1.0,False,328.27884,509.29462
siftsmall,34,8,200,200,10,0.9,1.0,1.0,False,248.55382,507.9754
siftsmall,35,8,200,200,10,0.9,0.9,0.9,False,120.975204,508.03445
siftsmall,36,8,200,200,10,0.9,1.0,1.0,False,111.45851,509.03635
siftsmall,37,8,200,200,10,0.9,0.9,0.9,False,166.85622,508.9116
siftsmall,38,8,200,200,10,0.9,1.0,1.0,False,156.35857,508.4614
siftsmall,39,8,200,200,10,0.9,0.6,0.6,False,193.9768,509.2956
siftsmall,40,8,200,200,10,0.9,1.0,1.0,False,153.56432,508.1476
siftsmall,41,8,200,200,10,0.9,0.8,0.8,False,200.49438,508.66492
siftsmall,42,8,200,200,10,0.9,1.0,1.0,False,236.77205,508.66196
siftsmall,43,8,200,200,10,0.9,0.6,0.6,False,165.33905,507.93503
siftsmall,44,8,200,200,10,0.9,1.0,1.0,False,256.35327,509.22687
siftsmall,45,8,200,200,10,0.9,0.5,0.5,False,261.36182,509.86078
siftsmall,46,8,200,200,10,0.9,0.9,0.9,False,99.62931,509.4497
siftsmall,47,8,200,200,10,0.9,1.0,1.0,False,294.3943,508.47418
siftsmall,48,8,200,200,10,0.9,0.8,0.8,False,155.76263,507.8553
siftsmall,49,8,200,200,10,0.9,1.0,1.0,False,128.78276,508.5745
siftsmall,50,8,200,200,10,0.9,1.0,1.0,False,181.14082,508.4909
siftsmall,51,8,200,200,10,0.9,1.0,1.0,False,130.81285,509.30246
siftsmall,52,8,200,200,10,0.9,0.9,0.9,False,198.77626,509.36038
siftsmall,53,8,200,200,10,0.9,0.6,0.6,False,194.17775,509.003
siftsmall,54,8,200,200,10,0.9,1.0,1.0,False,159.30788,509.58023
siftsmall,55,8,200,200,10,0.9,1.0,1.0,False,184.04347,508.38177
siftsmall,56,8,200,200,10,0.9,0.6,0.6,False,190.73541,507.81
siftsmall,57,8,200,200,10,0.9,0.7,0.7,False,167.14664,508.4496
siftsmall,58,8,200,200,10,0.9,1.0,1.0,False,65.74192,507.84445
siftsmall,59,8,200,200,10,0.9,1.0,1.0,False,114.41591,509.80585
siftsmall,60,8,200,200,10,0.9,0.8,0.8,False,170.30855,508.19385
siftsmall,61,8,200,200,10,0.9,1.0,1.0,False,140.35669,508.85165
siftsmall,62,8,200,200,10,0.9,1.0,1.0,False,131.65105,508.7927
siftsmall,63,8,200,200,10,0.9,1.0,1.0,False,94.91575,509.13553
siftsmall,64,8,200,200,10,0.9,1.0,1.0,False,138.27509,509.0992
siftsmall,65,8,200,200,10,0.9,0.7,0.7,False,173.38109,508.20468
siftsmall,66,8,200,200,10,0.9,1.0,1.0,False,200.86563,508.73764
siftsmall,67,8,200,200,10,0.9,0.9,0.9,False,224.22533,508.58133
siftsmall,68,8,200,200,10,0.9,0.9,0.9,False,201.3107,508.45944
siftsmall,69,8,200,200,10,0.9,0.7,0.7,False,266.81268,508.39157
siftsmall,70,8,200,200,10,0.9,1.0,1.0,False,46.8188,509.5135
siftsmall,71,8,200,200,10,0.9,1.0,1.0,False,193.67499,509.03732
siftsmall,72,8,200,200,10,0.9,0.5,0.5,False,303.21115,508.4909
siftsmall,73,8,200,200,10,0.9,1.0,1.0,False,230.45824,508.89587
siftsmall,74,8,200,200,10,0.9,0.9,0.9,False,131.09538,507.90552
siftsmall,75,8,200,200,10,0.9,1.0,1.0,False,212.06131,507.72925
siftsmall,76,8,200,200,10,0.9,1.0,1.0,False,251.25684,509.04028
siftsmall,77,8,200,200,10,0.9,1.0,1.0,False,293.71585,507.7135
siftsmall,78,8,200,200,10,0.9,0.9,0.9,False,226.8678,508.31683
siftsmall,79,8,200,200,10,0.9,1.0,1.0,False,148.16545,509.16403
siftsmall,80,8,200,200,10,0.9,0.9,0.9,False,146.31131,508.93124
siftsmall,81,8,200,200,10,0.9,0.8,0.8,False,276.81943,509.4134
siftsmall,82,8,200,200,10,0.9,0.8,0.8,False,271.98163,507.5362
siftsmall,83,8,200,200,10,0.9,1.0,1.0,False,181.60672,509.0894
siftsmall,84,8,200,200,10,0.9,1.0,1.0,False,192.67848,508.59512
siftsmall,85,8,200,200,10,0.9,1.0,1.0,False,285.107,509.18954
siftsmall,86,8,200,200,10,0.9,1.0,1.0,False,224.90665,508.11514
siftsmall,87,8,200,200,10,0.9,1.0,1.0,False,123.55971,509.0442
siftsmall,88,8,200,200,10,0.9,1.0,1.0,False,75.07996,508.8202
siftsmall,89,8,200,200,10,0.9,1.0,1.0,False,114.53384,509.17188
siftsmall,90,8,200,200,10,0.9,0.9,0.9,False,50.457905,509.68716
siftsmall,91,8,200,200,10,0.9,1.0,1.0,False,298.02686,508.86343
siftsmall,92,8,200,200,10,0.9,0.6,0.6,False,141.46378,508.0561
siftsmall,93,8,200,200,10,0.9,1.0,1.0,False,234.77435,508.26862
