query_id,method,recall,latency_ms,true_neighbors_found,terminated_early,actual_ef_used,max_ef_allowed,num_iterations,num_distance_computations,num_nodes_visited,distance_to_best,distance_to_worst_in_topk,distance_ratio,method_specific,query_d1nn_distance,query_dknn_distance,query_local_density,failure_type,recall_gap_from_oracle,d1nn,dknn,d_ratio,local_density,isolation_score,intrinsic_dim,difficulty,difficulty_score
39,hnsw_ef20,1.0,1.466,10,False,20,20,0,0,0,37627.0,48147.0,1.0,{},0.0,0.0,0.0,none,0.0,193.976806640625,219.4242401123047,1.1311880214567374,1099,0.361271799102914,0.2345802349397342,easy,0.0
40,hnsw_ef20,1.0,2.25,10,False,20,20,0,0,0,23582.0,77383.0,1.0,{},0.0,0.0,0.0,none,0.0,153.56431579589844,278.1780090332031,1.8114755865739547,30,0.2860056189520407,7.9219575718003306,medium,0.30000000000000004
41,hnsw_ef20,1.0,3.027,10,False,20,20,0,0,0,40198.0,50025.0,1.0,{},0.0,0.0,0.0,none,0.0,200.494384765625,223.66268920898438,1.1155558768912295,1395,0.37341045225320985,0.3361777688950746,easy,0.0
42,hnsw_ef20,1.0,1.746,10,False,20,20,0,0,0,56061.0,77258.0,1.0,{},0.0,0.0,0.0,none,0.0,236.7720489501953,277.9532470703125,1.1739276164678525,3549,0.44097573098002346,0.599978394633014,easy,0.0
43,hnsw_ef20,1.0,1.9819999999999998,10,False,20,20,0,0,0,27337.0,86737.0,1.0,{},0.0,0.0,0.0,none,0.0,165.33905029296875,294.511474609375,1.7812578098611436,153,0.3079354547369795,7.169136757905096,medium,0.30000000000000004
44,hnsw_ef20,1.0,1.441,10,False,20,20,0,0,0,65717.0,73924.0,1.0,{},0.0,0.0,0.0,none,0.0,256.353271484375,271.8896789550781,1.0606054581661544,3561,0.4774447481582662,0.08333261205676751,easy,0.0
45,hnsw_ef20,0.7,1.568,7,False,20,20,0,0,0,70577.0,79550.0,1.0,{},0.0,0.0,0.0,none,0.0,261.36181640625,277.0451354980469,1.0600061604539026,4416,0.48677290478766083,0.09178439662167596,easy,0.0
46,hnsw_ef20,1.0,1.2409999999999999,10,False,20,20,0,0,0,9926.0,58929.0,1.0,{},0.0,0.0,0.0,none,0.0,99.62931060791016,242.75296020507812,2.4365616777218224,1,0.18555445318463443,7.573413986921598,very_hard,0.75
47,hnsw_ef20,1.0,1.9719999999999998,10,False,20,20,0,0,0,86668.0,114233.0,1.0,{},0.0,0.0,0.0,none,0.0,294.394287109375,337.9837341308594,1.1480648535998588,7948,0.5482941780079251,0.48469887300792674,easy,0.0
48,hnsw_ef20,1.0,1.539,10,False,20,20,0,0,0,24262.0,102124.0,1.0,{},0.0,0.0,0.0,none,0.0,155.76263427734375,319.5684509277344,2.0516374315981687,9,0.29009987375779334,8.098170742061564,hard,0.45
49,hnsw_ef20,1.0,7.702,10,False,20,20,0,0,0,16585.0,54822.0,1.0,{},0.0,0.0,0.0,none,0.0,128.7827606201172,234.14097595214844,1.8181080668305942,27,0.23985125040678798,4.935111045438962,medium,0.30000000000000004
50,hnsw_ef20,1.0,1.431,10,False,20,20,0,0,0,32812.0,89218.0,1.0,{},0.0,0.0,0.0,none,0.0,181.1408233642578,298.6938171386719,1.6489591445547624,79,0.33736544219448505,6.334266517310457,medium,0.30000000000000004
51,hnsw_ef20,1.0,1.449,10,False,20,20,0,0,0,17112.0,66730.0,1.0,{},0.0,0.0,0.0,none,0.0,130.81285095214844,258.3215026855469,1.9747410197492088,11,0.24363218895967972,6.571642453285452,medium,0.30000000000000004
52,hnsw_ef20,1.0,2.097,10,False,20,20,0,0,0,39512.0,53497.0,1.0,{},0.0,0.0,0.0,none,0.0,198.77626037597656,231.294189453125,1.1635906069248019,2697,0.3702105341801133,0.3861031667395129,easy,0.0
53,hnsw_ef20,0.9,1.842,9,False,20,20,0,0,0,37705.0,66910.0,1.0,{},0.0,0.0,0.0,none,0.0,194.17774963378906,258.001953125,1.3286895826714475,1701,0.36164604506517484,1.4912050053012977,easy,0.1
54,hnsw_ef20,1.0,0.83,10,False,20,20,0,0,0,25379.0,29993.0,1.0,{},0.0,0.0,0.0,none,0.0,159.30787658691406,173.18487548828125,1.0871080526504682,321,0.296702704733391,0.10701837290333246,easy,0.0
55,hnsw_ef20,1.0,2.339,10,False,20,20,0,0,0,33872.0,52309.0,1.0,{},0.0,0.0,0.0,none,0.0,184.04347229003906,228.71160888671875,1.2427042700340165,400,0.3427714761309233,0.863992453757779,easy,0.0
56,hnsw_ef20,1.0,2.093,10,False,20,20,0,0,0,36380.0,48758.0,1.0,{},0.0,0.0,0.0,none,0.0,190.73541259765625,220.8121337890625,1.1576881858580248,2643,0.3552348698545925,0.29847759884109687,easy,0.0
57,hnsw_ef20,1.0,1.721,10,False,20,20,0,0,0,27938.0,62801.0,1.0,{},0.0,0.0,0.0,none,0.0,167.14663696289062,250.6012725830078,1.4992899476562338,493,0.31130199169357026,2.675237823446736,medium,0.2
58,hnsw_ef20,1.0,1.472,10,False,20,20,0,0,0,4322.0,109499.0,1.0,{},0.0,0.0,0.0,none,0.0,65.7419204711914,330.9063415527344,5.033414588150645,1,0.12244093660697396,20.066262053090863,very_hard,0.8999999999999999
59,hnsw_ef20,1.0,0.894,10,False,20,20,0,0,0,13091.0,29119.0,1.0,{},0.0,0.0,0.0,none,0.0,114.41590881347656,170.6428985595703,1.491426326366522,62,0.21309372980667834,2.8715466771132063,medium,0.2
60,hnsw_ef20,1.0,1.839,10,False,20,20,0,0,0,29005.0,81397.0,1.0,{},0.0,0.0,0.0,none,0.0,170.3085479736328,285.3016052246094,1.675204260850018,351,0.3171908878932611,3.9484325605783965,medium,0.30000000000000004
61,hnsw_ef20,1.0,1.3699999999999999,10,False,20,20,0,0,0,19700.0,70796.0,1.0,{},0.0,0.0,0.0,none,0.0,140.356689453125,266.0751647949219,1.8957070434735719,15,0.2614070959978357,8.321310961342283,medium,0.30000000000000004
62,hnsw_ef20,1.0,0.959,10,False,20,20,0,0,0,17332.0,59702.0,1.0,{},0.0,0.0,0.0,none,0.0,131.6510467529297,244.3399200439453,1.8559664056640546,22,0.2451932854133901,4.6466300318490035,medium,0.30000000000000004
63,hnsw_ef20,1.0,1.1360000000000001,10,False,20,20,0,0,0,9009.0,51518.0,1.0,{},0.0,0.0,0.0,none,0.0,94.9157485961914,226.97576904296875,2.3913393973071018,4,0.1767756870133176,12.668938997322147,very_hard,0.75
64,hnsw_ef20,1.0,1.2550000000000001,10,False,20,20,0,0,0,19120.0,69118.0,1.0,{},0.0,0.0,0.0,none,0.0,138.27508544921875,262.90301513671875,1.9013043042614453,13,0.2575302158876053,5.349987359850682,medium,0.30000000000000004
65,hnsw_ef20,0.9,1.1540000000000001,9,False,20,20,0,0,0,30061.0,61207.0,1.0,{},0.0,0.0,0.0,none,0.0,173.38108825683594,243.80935668945312,1.4062050200555274,400,0.32291333572170416,1.6734126203124813,easy,0.1
66,hnsw_ef20,1.0,1.296,10,False,20,20,0,0,0,40347.0,85595.0,1.0,{},0.0,0.0,0.0,none,0.0,200.86563110351562,292.56622314453125,1.4565270401772115,281,0.3741018794125846,3.341615840457156,medium,0.2
67,hnsw_ef20,1.0,1.693,10,False,20,20,0,0,0,50277.0,77892.0,1.0,{},0.0,0.0,0.0,none,0.0,224.22532653808594,279.09136962890625,1.2446915517436028,1501,0.4176081075142689,0.8780137066716459,easy,0.0
68,hnsw_ef20,1.0,1.444,10,False,20,20,0,0,0,40526.0,48625.0,1.0,{},0.0,0.0,0.0,none,0.0,201.31069946289062,220.51077270507812,1.0953753242794073,1517,0.3749307962800175,0.2339332817831918,easy,0.0
