query_id,method,recall,latency_ms,true_neighbors_found,terminated_early,actual_ef_used,max_ef_allowed,num_iterations,num_distance_computations,num_nodes_visited,distance_to_best,distance_to_worst_in_topk,distance_ratio,method_specific,query_d1nn_distance,query_dknn_distance,query_local_density,failure_type,recall_gap_from_oracle
7,hnsw_ef50,1.0,2.56,10,False,50,50,0,0,0,30258.0,48728.0,1.0,{},0.0,0.0,0.0,none,0.0
8,hnsw_ef50,1.0,3.5460000000000003,10,False,50,50,0,0,0,61739.0,74013.0,1.0,{},0.0,0.0,0.0,none,0.0
9,hnsw_ef50,1.0,3.1809999999999996,10,False,50,50,0,0,0,62507.0,73480.0,1.0,{},0.0,0.0,0.0,none,0.0
10,hnsw_ef50,1.0,6.0169999999999995,10,False,50,50,0,0,0,86367.0,104006.0,1.0,{},0.0,0.0,0.0,none,0.0
11,hnsw_ef50,1.0,3.2880000000000003,10,False,50,50,0,0,0,29640.0,54141.0,1.0,{},0.0,0.0,0.0,none,0.0
12,hnsw_ef50,1.0,3.4589999999999996,10,False,50,50,0,0,0,56906.0,68334.0,1.0,{},0.0,0.0,0.0,none,0.0
13,hnsw_ef50,1.0,3.539,10,False,50,50,0,0,0,59867.0,75645.0,1.0,{},0.0,0.0,0.0,none,0.0
14,hnsw_ef50,1.0,4.079,10,False,50,50,0,0,0,74702.0,93779.0,1.0,{},0.0,0.0,0.0,none,0.0
15,hnsw_ef50,1.0,3.215,10,False,50,50,0,0,0,64355.0,68732.0,1.0,{},0.0,0.0,0.0,none,0.0
16,hnsw_ef50,1.0,3.424,10,False,50,50,0,0,0,61603.0,70190.0,1.0,{},0.0,0.0,0.0,none,0.0
17,hnsw_ef50,1.0,3.827,10,False,50,50,0,0,0,64839.0,72546.0,1.0,{},0.0,0.0,0.0,none,0.0
18,hnsw_ef50,1.0,3.314,10,False,50,50,0,0,0,71230.0,78513.0,1.0,{},0.0,0.0,0.0,none,0.0
19,hnsw_ef50,1.0,3.848,10,False,50,50,0,0,0,50513.0,60190.0,1.0,{},0.0,0.0,0.0,none,0.0
20,hnsw_ef50,1.0,2.474,10,False,50,50,0,0,0,37243.0,44002.0,1.0,{},0.0,0.0,0.0,none,0.0
21,hnsw_ef50,1.0,3.359,10,False,50,50,0,0,0,6536.0,51865.0,1.0,{},0.0,0.0,0.0,none,0.0
22,hnsw_ef50,1.0,2.7720000000000002,10,False,50,50,0,0,0,29947.0,43724.0,1.0,{},0.0,0.0,0.0,none,0.0
23,hnsw_ef50,1.0,2.721,10,False,50,50,0,0,0,64486.0,69874.0,1.0,{},0.0,0.0,0.0,none,0.0
24,hnsw_ef50,1.0,3.629,10,False,50,50,0,0,0,23786.0,63044.0,1.0,{},0.0,0.0,0.0,none,0.0
25,hnsw_ef50,1.0,6.708,10,False,50,50,0,0,0,73772.0,95177.0,1.0,{},0.0,0.0,0.0,none,0.0
26,hnsw_ef50,1.0,3.778,10,False,50,50,0,0,0,33651.0,59115.0,1.0,{},0.0,0.0,0.0,none,0.0
27,hnsw_ef50,1.0,3.1519999999999997,10,False,50,50,0,0,0,30806.0,60091.0,1.0,{},0.0,0.0,0.0,none,0.0
28,hnsw_ef50,1.0,3.817,10,False,50,50,0,0,0,50562.0,61579.0,1.0,{},0.0,0.0,0.0,none,0.0
29,hnsw_ef50,1.0,1.897,10,False,50,50,0,0,0,15720.0,37712.0,1.0,{},0.0,0.0,0.0,none,0.0
30,hnsw_ef50,1.0,3.371,10,False,50,50,0,0,0,70425.0,77526.0,1.0,{},0.0,0.0,0.0,none,0.0
31,hnsw_ef50,1.0,3.226,10,False,50,50,0,0,0,11923.0,95245.0,1.0,{},0.0,0.0,0.0,none,0.0
32,hnsw_ef50,1.0,3.1020000000000003,10,False,50,50,0,0,0,35180.0,67794.0,1.0,{},0.0,0.0,0.0,none,0.0
33,hnsw_ef50,1.0,2.898,10,False,50,50,0,0,0,107767.0,133725.0,1.0,{},0.0,0.0,0.0,none,0.0
34,hnsw_ef50,1.0,3.3939999999999997,10,False,50,50,0,0,0,61779.0,77653.0,1.0,{},0.0,0.0,0.0,none,0.0
35,hnsw_ef50,1.0,3.685,10,False,50,50,0,0,0,14635.0,92609.0,1.0,{},0.0,0.0,0.0,none,0.0
36,hnsw_ef50,1.0,3.658,10,False,50,50,0,0,0,12423.0,90796.0,1.0,{},0.0,0.0,0.0,none,0.0
37,hnsw_ef50,1.0,2.9659999999999997,10,False,50,50,0,0,0,27841.0,102084.0,1.0,{},0.0,0.0,0.0,none,0.0
38,hnsw_ef50,1.0,3.3,10,False,50,50,0,0,0,24448.0,93294.0,1.0,{},0.0,0.0,0.0,none,0.0
39,hnsw_ef50,1.0,2.493,10,False,50,50,0,0,0,37627.0,48147.0,1.0,{},0.0,0.0,0.0,none,0.0
40,hnsw_ef50,1.0,3.296,10,False,50,50,0,0,0,23582.0,77383.0,1.0,{},0.0,0.0,0.0,none,0.0
41,hnsw_ef50,1.0,2.22,10,False,50,50,0,0,0,40198.0,50025.0,1.0,{},0.0,0.0,0.0,none,0.0
42,hnsw_ef50,1.0,3.28,10,False,50,50,0,0,0,56061.0,77258.0,1.0,{},0.0,0.0,0.0,none,0.0
43,hnsw_ef50,1.0,4.048,10,False,50,50,0,0,0,27337.0,86737.0,1.0,{},0.0,0.0,0.0,none,0.0
44,hnsw_ef50,1.0,2.451,10,False,50,50,0,0,0,65717.0,73924.0,1.0,{},0.0,0.0,0.0,none,0.0
45,hnsw_ef50,0.8,3.137,8,False,50,50,0,0,0,70577.0,78737.0,1.0,{},0.0,0.0,0.0,none,0.0
